,aliases,align,alive,appearances,birth,character_id,character_name,count_of_issue_appearances,deck,eye,first_appeared_in_issue,gsm,hair,identity_type,image,join_name,origin,page_id,powers,publisher,real_name,sex,teams,year
0,Bruce Wayne; The Caped Crusader; The Dark Knight; The World's Greatest Detective; The Dark Knight Detective,Good Characters,Living Characters,3093,"Feb 19, 1972",1699,Batman,16603,"Bruce Wayne, who witnessed the murder of his multi-millionaire parents as a child, swore to avenge their deaths. He trained extensively to achieve mental and physical perfection, mastering martial arts, detective skills, and criminal psychology. Costumed as a bat to prey on the fears of criminals, and utilizing a high-tech arsenal, he became the legendary Batman.",Blue Eyes,May-39,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6198653-batman%2012.jpg,batman_may_39,Human,1422,Agility; Stamina; Intellect; Weapon Master; Insanely Rich; Power Suit; Unarmed Combat; Gadgets; Escape Artist; Tracking; Adaptive; Swordsmanship; Marksmanship; Energy Based Constructs; Stealth; Leadership,DC Comics,Bruce Wayne,Male Characters,,1939
1,Diana Prince; Diana of Themyscira; Princess Diana; Princess of the Amazons; Goddess of Truth,Good Characters,Living Characters,1231,"Mar 21, 1881",2048,Wonder Woman,6575,"The princess of the Amazons, armed with powers of a god, Wonder Woman is one of Earth's most powerful defenders of peace and equality and a member of the Justice League. She is often considered an archetype for the comic book superheroine. She stands for Love, peace, and above all else, truth! Her original origin depicted her as a clay figure brought to life by the gods, but in recent years she has been depicted as the daughter of Zeus and the Amazon queen Hippolyta.",Blue Eyes,Dec-41,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6444044-4130984370-aHR0cDovL3d3dy5uZXdzYXJhbWEuY29tL2ltYWdlcy9pLzAwMC8yMjcvMjY2L29yaWdpbmFsL0pMXzFfdmFyX01hcmtfQnJvb2tzX2IuanBn,wonder_woman_dec_41,Other,1448,Flight; Super Strength; Super Speed; Agility; Stamina; Invulnerability; Intellect; Healing; Magic; Weapon Master; Super Hearing; Insanely Rich; Unarmed Combat; Divine Powers; Immortal; Swordsmanship; Animal Control; Power Item; Berserker Strength; Leadership; Longevity,DC Comics,Diana of Themyscira,Female Characters,,1941
2,Orin; Aquafresh; Aquaman; King Arthur; King of Atlantis,Good Characters,Living Characters,1121,"Jan 29, 1977",2357,Aquaman,3505,"The son of an Atlantean queen and a lighthouse keeper from the town of Amnesty Bay, Arthur Curry would grow up to become the superhero Aquaman, and later take on his birthright as the King of Atlantis. He is a founding member of the Justice League and is among DC Comics' most recognized heroes.",Blue Eyes,Nov-41,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6198659-dprxkvjwaaa9eni.jpg,aquaman_nov_41,Other,1486,Super Strength; Super Speed; Agility; Stamina; Invulnerability; Telepathy; Intellect; Teleport; Radar Sense; Healing; Weapon Master; Super Sight; Super Hearing; Insanely Rich; Unarmed Combat; Electricity Control; Ice Control; Sub-Mariner; Swordsmanship; Animal Control; Power Item; Water Control; Leadership; Longevity,DC Comics,Arthur Curry,Male Characters,,1941
3,"Alan Wellington Scott
Alan Ladd Scott
Sentinel
Man of Green
White King
Green Lantern
Keeper of the Starheart
Green Gladiator
Emerald Crusader
Emerald Gladiator
Green Guardsman 
Jade Knight
Green Champion",Good Characters,Deceased Characters,969,,12663,Alan Scott,1666,"Alan Scott, the bearer of the mystical Starheart, is the original Golden Age Green Lantern and a founding member of the Justice Society of America.  An all-time great, Alan continues to fight for truth, justice and freedom well into old age as a member of the Justice Society. He has now been introduced as an iconic gay character in DC's new reboot, The New 52.",Blue Eyes,Jul-40,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5516293-society3.jpg,alan_scott_jul_40,Human,1459,Flight; Super Speed; Intellect; Psychic; Force Field; Blast Power; Healing; Magic; Phasing / Ghost; Weather Control; Size Manipulation; Tracking; Light Projection; Reality Manpulation; Duplication; Dimensional Manipulation; Energy Shield; Time Travel; Illusion Casting; Density Control; Earth Manipulation; Time Manipulation; Power Item; Energy Manipulation; Willpower-Based Constructs; Energy Based Constructs; Leadership; Longevity,DC Comics,Alan Ladd Wellington Scott,Male Characters,,1940
4,Amy Beddoes; Batgirl; Oracle; Babs; Nightwing,Good Characters,Living Characters,951,"Sep 23, 1990",5368,Barbara Gordon,2864,"Barbara Gordon was the first modern age Batgirl until she was brutally shot by the Joker, rendering her paralyzed from the waist down. Barbara reinvented herself as Oracle, providing intelligence to the DCU heroes and leading the Birds of Prey. She has recently become Batgirl once again to protect Gotham City.",Blue Eyes,Jan-67,,Red Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6472091-bg_cv27-1-600x910.jpg,barbara_gordon_jan_67,Human,1905,Agility; Stamina; Intellect; Psychic; Weapon Master; Unarmed Combat; Gadgets; Tracking; Electronic interaction; Technopathy; Marksmanship; Power Item; Stealth; Leadership,DC Comics,Barbara Gordon,Female Characters,,1967
5,Lois Lane; Lois Lane-Kent; Lois Kent; Lois Luthor; The Leopard Girl,Good Characters,Living Characters,934,,1808,Lois Lane,4854,"Lois Lane is a Pulitzer Prize-winning journalist for the Daily Planet of Metropolis. She was the first reporter to interview Superman after he first appeared in Metropolis. Superman later revealed his secret identity to her; the two married and have a son, Jon Kent.",Blue Eyes,Jun-38,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/5340378-tumblr_oad6mqksqd1ulk38bo1_1280.jpg,lois_lane_jun_38,Human,23383,Flight; Super Strength; Super Speed; Invulnerability; Intellect; Super Sight; Super Hearing; Unarmed Combat; Tracking; Heat Vision,DC Comics,Lois Joanne Lane,Female Characters,,1938
6,"Alfie
Alfred Beagle
Thaddeus Middleton
The Outsider
The Nest
Alfred Thaddeus Crane Pennyworth",Good Characters,Living Characters,930,,5556,Alfred Pennyworth,3706,"Alfred Pennyworth is Bruce Wayne's loyal father figure and butler. Alfred raised Bruce (and later Dick Grayson) after the death of the Waynes. A former British secret agent, Alfred is a skilled surgeon who often fixes members of the Bat-Family.",Blue Eyes,Apr-43,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6012147-alfred4.jpg,alfred_pennyworth_apr_43,Human,1456,Agility; Stamina; Intellect; Unarmed Combat; Gadgets; Escape Artist; Marksmanship,DC Comics,Alfred Thaddeus Crane Pennyworth,Male Characters,,1943
7,Green Lantern; Ion; Parallax; Torch Bearer; White Lantern,Good Characters,Living Characters,716,,40431,Kyle Rayner,1439,"Originally thought to be chosen by chance, Ganthet chose Kyle Rayner because he had the ability to harness the powers of the emotional spectrum. Once the Torchbearer of the Green Lantern Corps, Kyle graduated to the role Ganthet had intended for him: the White Lantern. After the White Ring is separated into seven rings, Kyle returns to being a Green Lantern Corpsman.",Green Eyes,Jan-94,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5903477-kyle.jpg,kyle_rayner_jan_94,Human,4320,Flight; Super Strength; Super Speed; Stamina; Intellect; Teleport; Force Field; Blast Power; Healing; Invisibility; Phasing / Ghost; Unarmed Combat; Energy-Enhanced Strike; Light Projection; Holographic Projection; Reality Manpulation; Swordsmanship; Omni-lingual; Energy Shield; Sense Death; Empathy; Power Item; Energy Absorption; Energy Manipulation; Cosmic Awareness; Willpower-Based Constructs; Energy Based Constructs; Leadership,DC Comics,Kyle Rayner,Male Characters,,1994
8,Arsenal; Red Arrow; Speedy,Neutral Characters,Living Characters,654,,3404,Roy Harper,1668,"Green Arrow's first sidekick Speedy, and later Arsenal, and then Red Arrow, Roy Harper has grown to become one of the most accomplished marksmen in the DC Universe. Roy now goes by the name Arsenal once more.",Green Eyes,Nov-41,,Red Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6032293-rh2.jpg,roy_harper_nov_41,Human,1556,Agility; Stamina; Intellect; Weapon Master; Insanely Rich; Power Suit; Unarmed Combat; Gadgets; Escape Artist; Tracking; Swordsmanship; Marksmanship; Stealth; Leadership,DC Comics,"Roy William Harper, Jr.",Male Characters,,1941
9,Warrior; The Grinder ; GL; Green Lantern; The Crazy One,Good Characters,Living Characters,593,,1791,Guy Gardner,1346,"Guy Gardner started out as the backup Green Lantern for Hal Jordan. He has since become one of the most prominent Green Lanterns of the Corps, despite possessing an egocentric personality. He has recently deserted his Green Power Ring in favor of the Red Ring of rage. Guy's will and rage are some of the most impressive in the entire Emotional Spectrum.",Blue Eyes,Mar-68,,Red Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/5903538-gls24.jpg,guy_gardner_mar_68,Human,1479,Flight; Super Strength; Agility; Stamina; Intellect; Force Field; Blast Power; Healing; Weapon Master; Phasing / Ghost; Shape Shifter; Unarmed Combat; Power Item; Energy Manipulation; Willpower-Based Constructs; Energy Based Constructs; Leadership,DC Comics,Guy Darrin Gardner,Male Characters,,1968
